title,contributor,description,hyperlink
Cats,"Hunter, Thomas - Hunter, Thomas, Approximately 1828-Approximately 1894",1 print : tinted lithograph ; sheet 48.5 x 57.3 cm. | Print shows the faces and front paws of two sleeping cats.,https://www.loc.gov/item/2004670356/
[Cat],"Andō, Hiroshige",1 drawing : ink and watercolor. | Ukiyo-e drawing showing a cat.,https://www.loc.gov/item/2005678556/
[Cats],Harris & Ewing,1 negative : glass ; 4 x 5 in. or smaller,https://www.loc.gov/item/2016892680/
[Cats],Harris & Ewing,1 negative : glass ; 4 x 5 in. or smaller,https://www.loc.gov/item/2016890324/
[Cat],N/A,"1 woodcut. | Source - Schreiber collection, folder I -45-98, p. 2.",https://www.loc.gov/item/2018662113/
[Cat],N/A,"1 woodcut. | Source - Schreiber collection, folder I-45-98, p.4.",https://www.loc.gov/item/2018662115/
Cat,"Goldstein, Milton",1 print : col. etching ; 35.3 x 25.3 cm.,https://www.loc.gov/item/2003665736/
"Dandie; the tale of a yellow cat,","Hungerford, Florence",Also available in digital form.,https://www.loc.gov/resource/gdcmassbookdig.dandiethetaleofy00hung/
"The cat, a guide to the classification and varieties of cats and a short treaties upon their care, diseases, and treatment,","Huidekoper, Rush Shippen",Also available in digital form.,https://www.loc.gov/resource/gdcmassbookdig.catguidetoclassi01huid/
"Everybody's cat book; containing chapters on ""colour breeding"", ""showing"", ""conditioning"", ""judging"", ""diseases and their treatment"", ""how to raise and treat the show and pet cat"", and many valuable prescriptions,","Champion, Dorothy Bevill",Also available in digital form.,https://www.loc.gov/resource/gdcmassbookdig.everybodyscatboo00cham/
"... The domestic cat; bird killer, mouser and destroyer of wild life; means of utilizing and controlling it.","Forbush, Edward Howe",Also available in digital form.,https://www.loc.gov/resource/gdcmassbookdig.domesticcatbirdk00forb/
"Pussy and her language,","Grimaldi, Alphonse Leon - Clark, Marvin R.",Also available in digital form.,https://www.loc.gov/resource/gdcmassbookdig.pussyherlanguage00clar/
John B. Moisant,N/A,"1 photographic print. | Photograph shows aviator John B. Moisant (1868-1910), probably with his feline frequent flying companion, Mademoiselle Fifi. (Source: Flickr Commons project, 2019)",https://www.loc.gov/item/2004671743/
The nomad of the nine lives,"Friebe, A. Frances (Abby Frances) - Atwood, Clara R.",Also available in digital form on the Library of Congress Web site.,https://www.loc.gov/item/14000113/
Cat show,"Brooks, Charlotte","28 photographic prints (contact sheets). | Photographs of cats, women, and a few men and children participating in the Garden State Cat Club's 15th annual show, held December 1-2, 1953, at the Wideaway Hall in Newark, N.J., for more than 300 cats from the United States, Canada, and Europe. Includes owners grooming cats; judges examining cats; owners holding cats with award ribbons; and people...",https://www.loc.gov/item/2016721953/
The Cat,"Eugene, Frank",1 photomechanical print : photogravure.,https://www.loc.gov/item/90710537/
[A cat],"Stephens, Alice Barber",1 drawing : pencil.,https://www.loc.gov/item/2010718352/
Domestic cat,N/A,"1 drawing : ink ; 6.1 x 9 (image), 13.7 x 19.2 cm (sheet) | Drawing shows a Japanese Bobtail cat, full-length, standing, facing left.",https://www.loc.gov/item/2009630098/
[Two cats],"Steinlen, Théophile Alexandre",1 print (poster) : color.,https://www.loc.gov/item/94509814/
Black cat,American Merri-Lei Corporation,1 print : cardboard cut-out with orange tinting ; irregular sheet 28 x 25 cm.,https://www.loc.gov/item/2017658972/
[Domestic cat],N/A,"1 drawing : ink ; 6.1 x 9.2 (image), 7.8 x 11.2 cm (sheet)",https://www.loc.gov/item/2009630118/
"""Nervous Cats""","Block, Herbert",1 drawing.,https://www.loc.gov/item/2012631796/
Fat cat,"Block, Herbert",1 drawing.,https://www.loc.gov/item/2012633951/
"Poem 061:
        

        
            
                
                    
                    Sister Cat","Mayes, Frances",,https://www.loc.gov/item/poetry-180-061/sister-cat/
"Poem 116:
        

        
            
                
                    
                    Cat Scat","Grennan, Eamon",,https://www.loc.gov/item/poetry-180-116/cat-scat/
Nashville Cats!,"Dell Jenkins, Mary","According to the song “Nashville Cats” by the Lovin’ Spoonful, there are “thirteen-hundred and fifty-two guitar pickers in Nashville.”  I wouldn’t question that number, but in fact I suspect it has increased dramatically since that song debuted in 1966. As my colleague Lindsay Conway wrote about in her blog post Music City 101:  NLS Heads […]",https://blogs.loc.gov/nls-music-notes/2018/04/nashville-cats/
"Schrödinger's cat
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available","Small Press Expo Collection (Library of Congress) - Wong, Ken",N/A,//lccn.loc.gov/2016218557
"""Cat"" Hat","Harrell, Alfred",N/A,https://www.loc.gov/item/ncr002272/
Cat song,"Pugsley, L. E. - J. C. Groene & Co.",sheet music | 1 score | Sheet Music (Form).,https://www.loc.gov/item/ihas.100008567/
Cat song,"Williams, Gus - T. B. Harms & Co.",sheet music | 1 score | Sheet Music (Form).,https://www.loc.gov/item/ihas.100009959/
Whose Cat,N/A,"Photographic Prints. 5 photographs: b&w, 8 in. x 10 in. | From Federal Theatre Project Collection (Production Records, Photographic Prints File, 1934-1939). Collections of over 23,000 black and white photographs, grouped into nine subseries, documenting over 1,000 FTP productions in 67 cities in 27 states. Also included are portraits of actors, actresses, and well-known figures of the day, as well as prints of audiences,...",https://www.loc.gov/item/musftpphotoprints.200223581/
Cat family,N/A,1 print.,https://www.loc.gov/item/2003689307/
"""Naughty cat!""",Currier & Ives,1 print : lithograph.,https://www.loc.gov/item/2002710641/
Emmons cat,"C.M. Bell (Firm : Washington, D.C.)",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694116/
Emmons cat,"C.M. Bell (Firm : Washington, D.C.)",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694117/
Emmons cat,"C.M. Bell (Firm : Washington, D.C.)",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694119/
Emmons [cat],"C.M. Bell (Firm : Washington, D.C.)",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694121/
Miscellaneous [cat],"C.M. Bell (Firm : Washington, D.C.)",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016712990/
Miscellaneous [cat],"C.M. Bell (Firm : Washington, D.C.)",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016712994/
Miscellaneous [cat],"C.M. Bell (Firm : Washington, D.C.)",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016712995/
Pussy cats,"Monckton, Lionel",Notated Music. From: Airs and graces. Staff notation. (Language).,https://www.loc.gov/item/2016732576/
Calamity cat,"College Women's Association of Japan - Yoneoka, Setsuko","1 print : etching, aquatint, and mezzotint ; 20 x 13 cm.",https://www.loc.gov/item/2006691519/
Cat's cradle,"Shahn, Ben","1 print : serigraph, col.",https://www.loc.gov/item/2002719209/
Cat song,"Barnard, Charles - Mollenhauer, Edward","Notated Music. From: The Wager, or, The masked ball : The Masked ball. Staff notation. (Language).",https://www.loc.gov/item/2016740302/
The cat,"Barnet, Will",1 print : col. lithograph ; 33 x 55 cm.,https://www.loc.gov/item/2002737046/
Witches' cat,"Eichenberg, Fritz",1 print : col. woodcut ; 38.3 x 29.5 cm.,https://www.loc.gov/item/2003664268/
Emmons cat [woman and cat],"C.M. Bell (Firm : Washington, D.C.)",1 negative : glass ; 5 x 7 in.,https://www.loc.gov/item/2016694120/
"Jeremiah the cat,","Culp, William Maurice",Also available in digital form.,https://www.loc.gov/resource/gdcmassbookdig.jeremiahcat00culp/
"Sooty, an aristocratic cat,","Hurcum, Ambrosina","Illustrated lining-papers. ""Lithographed."" ""Junior press books."" Also available in digital form.",https://www.loc.gov/resource/gdcmassbookdig.sootyaristocrati00hurc/
Cat tales in verse.,"Walker, Elliot",Also available in digital form.,https://www.loc.gov/resource/gdcmassbookdig.cattalesinverse00walk/
Yard of cats,N/A,1 print : chromolithograph ; sheet 92 x 122 cm. or less.,https://www.loc.gov/item/2018757354/
Yard of cats,N/A,1 print : chromolithograph ; sheet 92 x 122 cm. or less.,https://www.loc.gov/item/2018694858/
